"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","EEU-FC1C101H","","","","SamacSys_Parts:CAPPRD250W55D630H1220","http://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1209.pdf"
"C3","1","10uF - tantalum","","","","","~"
"C4,C5","2","0.1uF","","","","","~"
"C6","1","0.1uF - ceramic","","","","","~"
"C7","1","EEU-FR1E331","","","","SamacSys_Parts:CAPPRD350W65D800H1300","http://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1259.pdf"
"D1","1","1N5822","","","","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","http://www.vishay.com/docs/88526/1n5820.pdf"
"D2","1","R-LED","","","","","~"
"D3","1","Y-LED","","","","","~"
"D4","1","G-LED","","","","","~"
"D5,D6","2","1N5819","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88525/1n5817.pdf"
"IC1","1","ESP32-C3-WROOM-02-N4","","","","SamacSys_Parts:ESP32C3WROOM02N4","https://www.mouser.ch/datasheet/2/891/Espressif_ESP32_C3_WROOM_02-2006871.pdf"
"IC2","1","LM2575-3.3WT","","","","SamacSys_Parts:LM257533WT","https://ww1.microchip.com/downloads/en/DeviceDoc/lm2575.pdf"
"IC3","1","MC74HC74ADTR2G","","","","SamacSys_Parts:SOP65P640X120-14N","https://www.onsemi.com/pub/Collateral/MC74HC74A-D.PDF"
"J1","1","2477","","","","SamacSys_Parts:2477","https://www.keyelco.com/product-pdf.cfm?p=1039"
"J2","1","UJ20-C-H-G-TH-P16-TR","","","","UJ20-C-H-G-TH-P16-TR:SAMESKY_UJ20-C-H-G-TH-P16-TR",""
"L1","1","330uH","","","","","~"
"LS1","1","PKM22EPPH4001-B0","","","","SamacSys_Parts:PKM22EPPH4001B0","https://www.murata.com/products/productdata/8801054064670/SPEC-PKM22EPPH4001-B0.pdf?1517839211000"
"R1,R2","2","4k7Ohms","","","","SamacSys_Parts:RESAD1590W60L630D240","~"
"R3,R4,R5","3","27 Ohms","","","","SamacSys_Parts:RESAD1590W60L630D240","~"
"R6","1","10kOhms","","","","SamacSys_Parts:RESAD1590W60L630D240","~"
"R7","1","6.8kOhms","","","","SamacSys_Parts:RESAD1590W60L630D240","~"
"R8,R9","2","5k1Ohms","","","","","~"
"R10","1","CFR-25JT-52-10K","","","","SamacSys_Parts:RESAD1590W60L630D240","https://www.yageo.com/upload/media/product/productsearch/datasheet/lr/YAGEO%20CFR_datasheet_2021v0.pdf"
"U1","1","ADXL345BCCZ-RL7","","","","ADXL345BCCZ-RL7:PQFN80P500X300X100-14N",""
