Item Number,Schematic Reference,Qty,Component,Part Number,Manufacturer,Vendor,Price Per Unit,Price,,,,
1,U1,1,Capacitive Accelerometer,ADXL345BCCZ-RL7,Analog Devices,Mouser,5.65,5.65,,,Elect Cost,26.61
2,-,1,Servo Motor,SG90,Soldered,HSRW,5.07,5.07,,,Mech Cost,9.7
3,Q1,1,Bipolar NPN Transistor,BC547B,CDIL,HSRW,0.04,0.04,,,PCB Cost,7.24
4,Q2,1,P-channel MOSFET,IRLML6402TRPBF,Infineon Technologies,Mouser,0.35,0.35,,,Total Cost,43.55
5,IC2,1,ESP32 Microcontroller,ESP32-C3-WROOM-02-N4,Expressif Systems,Mouser,3.12,3.12,,,,
6,D5,1,Red LED,DLE3MMR,Hottech,HSRW,0.06,0.06,,,,
7,D6,1,Yellow LED,DLE3MMY,Hottech,HSRW,0.06,0.06,,,,
8,D7,1,Green LED,DLE3MMG,Hottech,HSRW,0.06,0.06,,,,
9,LS1,1,Buzzer,PKM22EPPH4001-B0,Murata Electronics,Mouser,0.48,0.48,,,,
10,"S1, S2",2,Push Button,TS02-66-60-BK-260-LCR-D,Samesky,Mouser,0.09,0.18,,,,
11,IC1,1,3.3V Output Voltage Regulator,LM2575-3.3WT,Microchip Technology,Mouser,1.48,1.48,,,,
12,"D1,D2",2,TVS Diode,1N5908,STMicroelectronics,HSRW,0.66,1.32,,,,
13,"D3,D4",2,Schottky Diode,1N5822,MIC Electronics,HSRW,0.15,0.3,,,,
14,"F1,F2",2,Resettable Fuse,PFRA110,Schurter,HSRW,0.28,0.56,,,,
15,-,1,Battery Holder,2477,Keystone Electronics,Mouser,1.87,1.87,,,,
16,-,4,AA Battery ,-,-,HSRW,0.3,1.2,,,,
17,L1,1,330uH Inductor,RFC0810B-334KE,Coilcraft,Mouser,1.26,1.26,,,,
18,"C1,C4,C5,C10,C11,C12",6,0.1uF Ceramic Capacitor SMT (0805),B37873U5101S,EPCOS,HSRW,0.11,0.66,,,,
19,C2,1,100uF Electrolytic Capacitor,EEU-FC1C101H,Panasonic,HSRW,0.14,0.14,,,,
20,C3,1,1uF Electrolytic Capacitor,RA1/25-R,Jameco,HSRW,0.02,0.02,,,,
21,"C6,C8,C9",3,10uF Electrolytic Capacitor,EEU-FR1H100,Panasonic,HSRW,0.11,0.33,,,,
22,C7,1,330uF Electrolytic Capacitor,EEU-FR1E331,Panasonic,HSRW,0.26,0.26,,,,
23,J1,1,Male 2 Pin Header,-,-,HSRW,0.08,0.08,,,,
24,J2,1,Female 2 Pin Header,-,-,HSRW,0.1,0.1,,,,
25,J3,1,Male JST 2 Pin Header,-,-,HSRW,0.1,0.1,,,,
26,J4,1,Micro USB B,USB3145-30-1-A,GCT,Mouser,0.66,0.66,,,,
27,J5,1,Male JST 3 Pin Header,-,-,HSRW,0.12,0.12,,,,
28,"R1,R4,R5,R7",4,10kOhms,RC1206FR-0710KL,YAGEO,HSRW,0.09,0.36,,,,
29,R2,1,6.8kOhms,RC1206FR-076K8L,YAGEO,HSRW,0.09,0.09,,,,
30,"R3,R6",2,4k7Ohms,RC1206FR-074K7L,YAGEO,HSRW,0.09,0.18,,,,
31,R8,1,100 Ohms,RC1206FR-07100RL,YAGEO,HSRW,0.09,0.09,,,,
32,R9,1,100kOhms,RC1206FR-07100KL,YAGEO,HSRW,0.09,0.09,,,,
33,"R10,R11,R12",3,27 Ohms,RC1206FR-0727RL,YAGEO,HSRW,0.09,0.27,,,,
,,,,,,,,,,,,
Item Number,,Qty,Component,Price Per Unit,Price,,,,,,,
35,,7,M2x6 Screw,0.11,0.77,,,,,,,
36,,2,M2x20 Screw,0.14,0.28,,,,,,,
37,,1,M3x15 Plastic Screw,0.08,0.08,,,,,,,
38,,7,M3 Plastic Washer,0.01,0.07,,,,,,,
39,,1,M3 Hex Nut,0.07,0.07,,,,,,,
40,,1,3D Printed Housing,8.43,8.43,,,,,,,
